id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_variables_economicas_employee,access_variables_economicas,model_variables_economicas,variables_economicas_co.group_user_variables,1,0,0,0
access_variables_economicas_user,variables.economicas.user,model_variables_economicas,variables_economicas_co.group_manager_variables,1,1,1,1
,,,,,,,
access_variables_economicas_line_employee,variables.economicas.line,model_variables_economicas_line,variables_economicas_co.group_user_variables,1,0,0,0
access_variables_economicas_line_user,variables.economicas.line,model_variables_economicas_line,variables_economicas_co.group_manager_variables,1,1,1,1
,,,,,,,
access_variables_economicas_retefuente_employee,variables.economicas.retefuente,model_variables_economicas_retefuente,variables_economicas_co.group_user_variables,1,0,0,0
access_variables_economicas_retefuente_user,variables.economicas.retefuente,model_variables_economicas_retefuente,variables_economicas_co.group_manager_variables,1,1,1,1
,,,,,,,
access_variables_economicas_retefuente_line_employee,variables.economicas.retefuente.line,model_variables_economicas_retefuente_line,variables_economicas_co.group_user_variables,1,0,0,0
access_variables_economicas_retefuente_line_user,variables.economicas.retefuente.line,model_variables_economicas_retefuente_line,variables_economicas_co.group_manager_variables,1,1,1,1
,,,,,,,
access_variables_economicas_retefuente_marginal_line_employee,variables.economicas.retefuente.marginal.line,model_variables_economicas_retefuente_marginal_line,variables_economicas_co.group_user_variables,1,0,0,0
access_variables_economicas_retefuente_marginal_line_user,variables.economicas.retefuente.marginal.line,model_variables_economicas_retefuente_marginal_line,variables_economicas_co.group_manager_variables,1,1,1,1
